ID	parentID	scientificName	authorship	rank	basionymID	status	link	remarks	nameStatus	nameRemarks	namePublishedInPageLink	extinct	referenceID	nameReferenceID
421233	628654	Lenzites flaccida f. flaccida	(Bull.) Fr.	form	231840	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421233					false		
421263	528545	Sphaerella moelleriana var. moelleriana	Thüm.	variety	421263	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421263					false		
421409	542127	Tricholoma panaeolum subsp. panaeolum	(Fr.) Quél.	subspecies	457354	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421409					false		
421319	542125	Tricholoma panaeolum f. panaeolum	(Fr.) Quél.	form	457354	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421319					false		
421177	630127	Gloniella fourcroyae f. fourcroyae	(Berk. & Broome) Sacc.	form	630112	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421177					false		
421229	322180	Geastrum fornicatus var. fornicatus	(Huds.) Hook.	variety	227694	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421229					false		
421210	331698	Tremellodon gelatinosum var. gelatinosum	(Scop.) Fr.	variety	438452	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421210					false		
421287	122205	Arcyria clavata	(Pers.) Massee	species	246896	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421287					false	421287	421287
421258	628655	Lenzites betulina var. betulina	(L.) Fr.	variety	206472	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421258					false		
421356	633627	Mystrosporium piriforme var. piriforme	Desm.	variety	421356	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421356					false		
421535	537922	Galera hapala subsp. hapala	(Fr.) Sacc.	subspecies	463458	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421535					false		
421556	534991	Thyrsidium hederaecolum var. hederaecolum	(De Not.) Durieu & Mont.	variety	534990	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421556					false		
421630	545851	Verrucaria glaucina f. alanii	Servít	form	421630	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421630					false		
421515	655648	Cortinarius variicolor var. variicolor	(Pers.) Fr.	variety	494879	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421515					false		
421428	536301	Geastrum pampeanus var. pampeanus	Speg.	variety	421428	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421428					false		
421497	535673	Choiromyces ganglioides var. ganglioides	Zobel	variety	421497	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421497					false		
421477	627034	Heterobotrys paradoxa subsp. paradoxa	Sacc.	subspecies	421477	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421477					false		
421590	520243	Agaricus thejogalus var. thejogalus	Bull.	variety	421590	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421590					false		
421560	631361	Sphinctrina tubiformis var. tubiformis	A. Massal.	variety	421560	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421560					false		
421526	655722	Phyllosticta filipendulina var. filipendulina	Sacc. & Speg.	variety	421526	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421526					false		
421644	658936	Macrophoma malcomiae f. malcomiae	(Sacc.) Berl. & Voglino	form	658934	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421644					false		
421724	530637	Macrophoma mirbelii f. mirbelii	(Fr.) Berl. & Voglino	form	495086	synonym	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=421724					false		
