NAME_x0020_OF_x0020_FUNGUS	AUTHORS	SPECIFIC_x0020_EPITHET	INFRASPECIFIC_x0020_RANK	TYPIFICATION_x0020_DETAILS	HOST	LOCATION	VOLUME	PAGE	PART	YEAR_x0020_OF_x0020_PUBLICATION	EDITORIAL_x0020_COMMENT	NOMENCLATURAL_x0020_COMMENT	CORRECTION	PUBLISHED_x0020_LIST_x0020_REFERENCE	PUBLISHING_x0020_AUTHORS	LITERATURE_x0020_LINK	BSM_x0020_LINK	RECORD_x0020_NUMBER	BASIONYM_x0020_RECORD_x0020_NUMBER	PROTONYM_x0020_RECORD_x0020_NUMBER	NAME_x0020_OF_x0020_FUNGUS_x0020_FUNDIC_x0020_RECORD_x0020_NUMBER	CURRENT_x0020_NAME	CURRENT_x0020_NAME_x0020_RECORD_x0020_NUMBER	CURRENT_x0020_NAME_x0020_FUNDIC_x0020_RECORD_x0020_NUMBER	GSD_x0020_FLAG	TAXONOMIC_x0020_REFEREE	UpdatedBy	UpdatedDate	UUID	BaseURL	pubLink	pubType	pubOriginalTitle	pubEdition	pubPlaceOfPublication	pubISBN	pubISSN	pubIMIAbbr	pubPublishers	pubAcceptedTitle	Genus_x0020_name	Family_x0020_name	Order_x0020_name	Subclass_x0020_name	Class_x0020_name	Subphylum_x0020_name	Phylum_x0020_name	Kingdom_x0020_name	Authors1	Volume1	Page1	Year_x0020_of_x0020_Publication1	Day_x0020__x0026__x0020_Month_x0020_of_x0020_Publication	Literature_x0020_Link1	ING_x0020_NCU_x0020_Record_x0020_Number	Fundic_x0020_Record_x0020_Number	NCU_x0020_Flag	Current_x0020_Use	IsUnique	FUNINDEX_x0020_Record_x0020_Number_x0020_of_x0020_type_x0020_species	UpdatedBy1	UpdatedDate1	timestamp
Lenzites flaccida f. flaccida	(Bull.) Fr.	flaccida	f.							1838	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421233	231840	231840	17931		628654				sa	2020-01-08T08:53:21.057+00:00	52927554-3c4e-4939-9582-48c566208756												Lenzites	Polyporaceae	Polyporales	Incertae sedis	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	Fr.		339	1836		7312	3148500	17931		X	y	199017	EGHAM_SQL\KIRK	2002-12-19T13:46:03+00:00	AAAAAAhmrOU=
Sphaerella moelleriana var. moelleriana	Thüm.	moelleriana	var.							1880	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421263	421263	421263	5083		528545				sa	2020-01-08T08:53:21.07+00:00	ca008c67-668d-4af9-b597-5276bce441f4												Sphaerella	Mycosphaerellaceae	Mycosphaerellales	Dothideomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	(Fr.) Rabenh.		no. 264 (in sched.)	1856	ante 20 Jun	2120	5361600	5083		X	n	159134	EGHAM_SQL\KIRK	2004-06-25T14:57:06+01:00	AAAAAAhmu0c=
Tricholoma panaeolum subsp. panaeolum	(Fr.) Quél.	panaeolum	subsp.							1872	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421409	457354	457354	18677		542127				sa	2020-01-08T08:53:25.82+00:00	690acdb7-12b0-4b31-b505-d6986ee8736f												Tricholoma	Tricholomataceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	(Fr.) Staude		xxviii, 125	1857		7328	5845300	18677		X	y	461525	EGHAM_SQL\KIRK	2002-12-19T13:46:55+00:00	AAAAAAhmyp0=
Tricholoma panaeolum f. panaeolum	(Fr.) Quél.	panaeolum	f.							1872	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421319	457354	457354	18677		542125				sa	2020-01-08T08:53:21.09+00:00	ef6f034f-4db4-4b80-a7df-64e80fc49b86												Tricholoma	Tricholomataceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	(Fr.) Staude		xxviii, 125	1857		7328	5845300	18677		X	y	461525	EGHAM_SQL\KIRK	2002-12-19T13:46:55+00:00	AAAAAAhmyp0=
Gloniella fourcroyae f. fourcroyae	(Berk. & Broome) Sacc.	fourcroyae	f.							1883	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421177	630112	630112	2089		630127				sa	2020-01-08T08:53:21.027+00:00	8246e8c0-f7d9-4b0a-a056-6aa606fd53ec												Gloniella	Hysteriaceae	Hysteriales	Pleosporomycetidae	Dothideomycetes	Pezizomycotina	Ascomycota	Fungi	Sacc.	2	765	1883	13 Jun	326	2405300	2089		X	y	235265	EGHAM_SQL\KIRK	2002-12-19T13:45:50+00:00	AAAAAAhmqHM=
Geastrum fornicatus var. fornicatus	(Huds.) Hook.	fornicatus	var.							1821	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421229	227694	227694	19141		322180				sa	2020-01-08T08:53:21.043+00:00	f7f7d82d-d8c2-4b45-bd41-054fc767ec55												Geastrum	Geastraceae	Geastrales	Phallomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	Pers.	1	85	1794		1619	2336600	19141		X	y	153421	EGHAM_SQL\KIRK	2002-12-19T13:45:49+00:00	AAAAAAhm0NY=
Tremellodon gelatinosum var. gelatinosum	(Scop.) Fr.	gelatinosum	var.							1874	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421210	438452	438452	18671		331698				sa	2020-01-08T08:53:21.037+00:00	ca6b9d23-6f09-4300-96c6-30f48d22132d												Tremellodon	Incertae sedis	Auriculariales	Auriculariomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	(Pers.) Fr.		618	1874		8674	5816200	18671		X	y	438452	EGHAM_SQL\KIRK	2002-12-19T13:46:55+00:00	AAAAAAhmvg0=
Arcyria clavata	(Pers.) Massee	clavata	sp.					165		1892	The generic name in this combination is not considered to apply to an organism within the fungal clade					2193		421287	246896	246896	12016	Hemitrichia clavata	122205	12101	RSD		sa	2017-04-20T10:22:20.19+01:00	21a7cab6-ee6a-49b1-9504-a0a9a8bd861d		2193		Monograph of the Myxogastres		London			Monogr. Myxogastr.		Monograph of the Myxogastres	Arcyria	Trichiidae	Trichiida	Lucisporinia	Myxogastrea	Mycetozoa	Amoebozoa	Protozoa	Hill ex F.H. Wigg.		109	1780	29 Mar	1711	416700	12016		X	y	450812	EGHAM_SQL\KIRK	2002-12-19T13:45:15+00:00	AAAAAAhmnR8=
Lenzites betulina var. betulina	(L.) Fr.	betulina	var.							1838	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421258	206472	206472	17931		628655				sa	2020-01-08T08:53:21.063+00:00	8ddbeddf-346e-4bce-a64c-44b600b07b1e												Lenzites	Polyporaceae	Polyporales	Incertae sedis	Agaricomycetes	Agaricomycotina	Basidiomycota	Fungi	Fr.		339	1836		7312	3148500	17931		X	y	199017	EGHAM_SQL\KIRK	2002-12-19T13:46:03+00:00	AAAAAAhmrOU=
Mystrosporium piriforme var. piriforme	Desm.	piriforme	var.							1847	ORTHOGRAPHIC VARIANT RECORD - please do not try to interpret any data on this page or on any of the linked pages							421356	421356	421356	9051		633627				sa	2020-01-08T08:53:25.777+00:00	1e0abc9e-3640-4db6-be0d-17c946eea3bc												Mystrosporium	Incertae sedis	Incertae sedis	Incertae sedis	Incertae sedis	Pezizomycotina	Ascomycota	Fungi	Corda	1	12	1837	Aug	9242	3759100	9051		X	y	144603	EGHAM_SQL\KIRK	2004-01-05T11:31:21+00:00	AAAAAAhmsME=
